name,date
H5N1|A/sandwich_tern/Spain/1662-3_24VIR4860-18/2024|EPI3391473|2024-05-10,2024.5.10
H5N1|A/mute-swan/Slovenia/PER1879TA-24_25VIR818-3/2024|EPI3942953|2024-11-08,2024.11.8
H5N1|A/barnacle_goose/Sweden/SVA240110SZ0256/FB000047/M-2024|EPI2957032|2024-01-01,2024.1.1
H5N1|A/turkey/Wisconsin/24-037154-001/2024|EPI3884728|2024-12-11,2024.12.11
H5N1|A/swan/Croatia/V-121-24_25VIR117-15/2024|EPI3684919|2024-11-04,2024.11.4
H5N1|A/large-billed_crow/Hokkaido/0104B122/2024|EPI3293030|2024-04-11,2024.4.11
H5N1|A/mute_swan/Poland/MB008-2/2024|EPI2930781|2024-01-03,2024.1.3
H5N5|A/Chicken/NL/FAV-0053-4/2025|EPI4019302|2025-01-23,2025.1.23
H5N1|A/herring_gull/Rhode_Island/014130-006/2024|EPI3980471|2024-04-23,2024.4.23
H5N1|A/chicken/Slovakia/Vh-1996/2024|EPI3766336|2024-10-21,2024.10.21
H5N1|A/turkey/South_Dakota/24-035690-002/2024|EPI3823841|2024-12-01,2024.12.1
H5N1|A/turkey/Italy/25VIR769-1/2025|EPI3932292|2025-01-24,2025.1.24
H5N1|A/European_herring_gull/Netherlands/4/2024|EPI3884555|2024-12-15,2024.12.15
H5N1|A/eurasian-wigeon/Italy/24VIR10548-71/2024|EPI3735936|2024-11-23,2024.11.23
H5N1|A/European_herring_gull/Netherlands/6/2024|EPI3884569|2024-12-15,2024.12.15
H5N1|A/chicken/Czech_Republic/17125-2/2024|EPI3680094|2024-11-08,2024.11.8
H5N1|A/chicken/USA/24-033699-001/2024|EPI3678780|2024-10-30,2024.10.30
H5N1|A/turkey/Italy/25VIR69-2/2025|EPI3849307|2025-01-04,2025.1.4
H5N1|A/chicken/USA/24-033226-003/2024|EPI3675866|2024-11-03,2024.11.3
H5N1|A/mallard_duck/Italy/24VIR10241-1/2024|EPI3679093|2024-11-06,2024.11.6
H5N1|A/Larus_michaellis/Spain/3268-13_24VIR10678-32/2024|EPI3729807|2024-09-17,2024.9.17
H5N5|A/Herring_Gull/England/360557/2024|EPI3625718|2024-10-07,2024.10.7
H5N1|A/white-winged_scoter/Massachusetts/014126-041/2024|EPI3979961|2024-03-15,2024.3.15
H5N1|A/yellow-legged-gull/Italy/24VIR11104-2/2024|EPI3819108|2024-11-22,2024.11.22
H5N1|A/chicken/USA/24-037217-012/2024|EPI3746249|2024-12-10,2024.12.10
H5N1|A/chicken/Czech_Republic/2131-3/2025|EPI3978689|2025-02-04,2025.2.4
H5N1|A/EuropeanHerringGull/France/24P020272/2024|EPI3651386|2024-11-07,2024.11.7
H5N5|A/large-billed_crow/Hokkaido/B088/2024|EPI3539731|2024-02-07,2024.2.7
H5N1|A/chicken/Czech_Republic/19827-3/2024|EPI3873610|2024-12-13,2024.12.13
H5N1|A/little-owl/Italy/24VIR10728-1/2024|EPI3774227|2024-11-17,2024.11.17
